,Unnamed: 0,user,location,pesan
0,0,Andespen1,,punya kadar antibodi kali lebih tinggi dari pfizer vaksin moderna lebih greng
1,1,Nurput07,Indonesia,sudah vaksinasi belumyuk vaksin biar bisa saling iya saling menjaga
2,2,Irman81,Jl.Cinere Raya - Limo,vaksin pfizer tanggal sept jam habis maghrib mulai terasa pegal di area bekas suntikan semalaman tidurnya terb
3,3,syafrudin76,Mataram,vaksin dosis pertama bisa dapat antrian cantik di balai desa srimartani piyungan bantul
4,4,yusyusN,"bandung, indonesia",kipi di awal pasca vaksin booster cuma pegal di area suntik jam selanjutnya rada hareeng tapi alhamdulillah mas
5,5,adilumuhu,,moderna di lenganku sojol di dadakuuntuk mengatasi kipinya saya menggunakan batu akik sojol batu giok sojol batu
6,6,_Room641A,RA 10h 47m 56s | Dec +8° 43 39,winter is coming tik tak tik tak that makes sense
7,7,tng_tv,"Kota Tangerang, Banten",untuk saat ini ketersedian vaksin moderna di rsud kota tangerang telah habis dan link pendaftaran
8,8,JamiiForums,"Tanzania, Kenya and Uganda",ufilipino moderna yaidhinishwa kwa wenye miaka hadi matumizi ya dharura ya yameidhinishwa kwa wato
9,9,officialside_id,"Tangerang, Banten",vaksin jenis pfizer dan moderna sudah tersedia di beberapa lokasi di kabupaten tangerang dan kota tangerang cek dah
10,10,redaksisuma,,moderna mengatakan batch vaksin covid yang dikirim ke jepang tercemar oleh partikel baja tahan karat namun per
11,11,AnsorDukuhwaru,"Slawi, Tegal",vaksinasi massal mwc nu dukuhwaru dan badan otonom nu bersama di sampai maarif nu dukuhwaru selasa
12,12,AnsorDukuhwaru,"Slawi, Tegal",vaksinasi massal mwc nu dukuhwaru dan badan otonom nu bersama di sampai maarif nu dukuhwaru selasa
13,13,omyogiee,"Batu, Indonesia",discipleship jangan genggam sendirian pengetahuanmubuka tanganmu relakan lepaskan dan bagikanbiarkan semu
14,14,Bayu_Triatmaja,"Tangerang, Banten",alhamdulillah sudah selesai di dan tidak ada kipi walau isunya kipi agak berat alhamdulillah si
15,15,HumasFatmawati,Jakarta Selatan,pelayanan mri tesla dan ctscan multi slice di instalasi radiologi rsup fatmawati
16,16,ivankavalera,"Kabupaten Bulukumba, Sulsel",penggunaan ditangguhkan akibat kontaminasi partikel asing
17,17,sherrychiu__,Jember,risiko miokarditis lebih tinggi pada covid daripada efek vaksin berdasar studi di amerika serikat
18,18,agus3widodo,Indonesia,itu darah apa hati
19,19,agus3widodo,Indonesia,h pasca vaksinasi moderna jauh lebih baikan coba bekam made ini china tenaga ahlinya made ini mertua istri
