,Unnamed: 0,user,location,pesan
0,0,reddvelveet,,info vaksin dosis sinovac dong daerah cibitungtamsel merah putih
1,1,polsekkuta,"Badung, Bali",kapolsek kuta polresta denpasar kompol orpa sama takalapeta sh menerima kunjungan wagub bali dan rombongan sekali
2,2,WhyMenggay,Fridge,fully vaxx nya din sa wakas
3,3,SheMizuhara,Malaysia,alhamdulillah im fully vaccinated thank you semua volunteer axiata setelah lama tunggu mysejahtera tak update akhirnyaaaa
4,4,Irman81,Jl.Cinere Raya - Limo,vaksin pfizer tanggal sept jam habis maghrib mulai terasa pegal di area bekas suntikan semalaman tidurnya terb
5,5,polsekkuta,"Badung, Bali",kapolsek kuta polresta denpasar kompol orpa sama takalapeta sh pantau langsung sinergi program vaksinasi polri dah
6,6,Blood4LifeID,Indonesia,sept pmi jakut jalan plumpang semper jakart
7,7,_Room641A,RA 10h 47m 56s | Dec +8° 43 39,winter is coming tik tak tik tak that makes sense
8,8,manisazman,"Johore, Malaysia",finally alhamdulilah setel deh tunggu hari pula nih bagi vaksin matang dalam badan kita usaha untuk mengeka
9,9,radar_malang,"Jalan Kawi 11B, Kota Malang",memasuki hari ketiga vaksinasi untuk para pelajar kamis pemerintah kota malang kini telah menghabiskan
10,10,Nurulsufitri,"Jakarta, Indonesia",nurul sufitris blog pengalaman vaksin sinovac tahap dua di cibis park
11,11,raihxnmujahidin,"Johor Bahru, Johor",alhamdulillah settle indak dose vaccine dewanraya bandar putra
12,12,tuadoly,"Bandung, Indonesia",vaksin ke selesai semoga sehat selalu
13,13,novietact,"Penajam, Kaltim",hari setelah positif covid nyaris tidak bergejala kecuali asam lambung karena cemas tapi tidak
14,14,pantau_com,"DKI Jakarta, Indonesia",gabungan vaksin sinovacastrazeneca di thailand tunjukkan hasil positif berhasil tingkatkan kekebalan
15,15,TulusIk05626274,,monggo yang membutuhkan planter bag dari lu lu kontek ke gua bisa kirim luar kota
16,16,arisha84,,assalamualaikum abah kj saya sampai sekarang kali dapat indak dose appointment saya cancel kerana berpindah ke ipoh
17,17,sembilanpost,Jakarta,juta dosis vaksin sinovac dan sinopharm untuk program covax siap meluncur dari china
18,18,Blood4LifeID,Indonesia,sept pmi jakut jalan plumpang semper no saja
19,19,drmlalukoMD,"Mbeya, Tanzania",taarifa watakaohitaji kwenda hijja wanahitajika kuchomwa chanjo ya johnsonjohnson janssen nya wakazi gua zanzi
20,20,Graicegita,"Manado, Minahasa Utara",vaksin dosis gengs
21,21,JoniqqOfficial,,mari gabung di situs poker online joniqq untuk raih kemenangan besar dengan modal kecil saja di joniqq online saja
22,22,dsptln,Llanfairpwllgwyngyllgogerychw,info vaksin dosis sinovac dong gaes domisili tangsel
23,23,Blood4LifeID,Indonesia,sept pmi jakut jalan plumpang semper no saja
24,24,dw_indonesia,"Bonn, Jerman",berikut rangkuman berita terhangat korea utara beralasan tiga juta vaksin harusnya dikirim
25,25,pikiran_rakyat,"Bandung, Jawa Barat",korea utara sombong tolak bantuan vaksin kondisinya penuh tekateki
26,26,aisyahmuthiaa,,alhamdulillah vaksinasi tanggal sept berjalan lancar
27,27,Hidup2lah,,divaksin sakit enggak sih
28,28,ivankavalera,"Kabupaten Bulukumba, Sulsel",ini alasan tolak penggunaan
29,29,workwithmysc,,yuk mengenal vaksin merah putih lebih lanjut kalau kaliang bagaimana nih sobat mysc sudah pada vaksin belum kalau si
30,30,Greentea291,,kim jong un memang beda
31,31,tentaralangit99,Indonesia,pentingnya memberikan tauladan kepada rakyatkarena sabdo pandito ratuvideonya disini
32,32,p2k_uad,"Yogyakarta, Indonesia",hai dahlan muda kalian sudah pada vaksin belum buat yang sudah vaksin pada vaksin jenis apa nihlike astr
33,33,Jamal_akmalll,"Bekasi, Jawa Barat",diputuskan hakim adi wahyono anak buah juliari jadi justice collaborator
34,34,Jamal_akmalll,"Bekasi, Jawa Barat",pesan ali ngabalin pada novel baswean cs pergi sana cari kerja lainnya jangan ganggu
35,35,Jamal_akmalll,"Bekasi, Jawa Barat",ott bupati probolinggo dapat banyak dukungan pelibatan masyarakat suatu keniscayaan dalam pemberantasan kak
36,36,Jamal_akmalll,"Bekasi, Jawa Barat",lebih berat dari tuntutan jaksa joko bekas anak buah juliari batubara divonis tahun penjara
37,37,Jamal_akmalll,"Bekasi, Jawa Barat",putusan soal twk menegaskan kesesuain aturan dengan pelaksanaan
38,38,Jamal_akmalll,"Bekasi, Jawa Barat",setelah adi wahyono matheus joko dikabulkan hakim jadi justice collaborator korupsi bansos
39,39,Jamal_akmalll,"Bekasi, Jawa Barat",bupati kuansing riau diminta membantu penelusuran orang yang mengaku pegawai
40,40,Jamal_akmalll,"Bekasi, Jawa Barat",belum tentu dukung apa akan gelar ijtima ulama tahun depan
41,41,Jamal_akmalll,"Bekasi, Jawa Barat",kata rocky gerung presiden sedang ketagihan pujian cov
42,42,Jamal_akmalll,"Bekasi, Jawa Barat",estafet panggil kadisdik mojokerto dan saksi terkait tppu bekas bupati mustofa kamal
43,43,Jamal_akmalll,"Bekasi, Jawa Barat",menteri itu pemikir dan pembuat kebijakan bukan ngamukngamuk sih
44,44,iswanto_raden,,semoga tumbuh ini mampu menerima nya dosis pertama
45,45,Jamal_akmalll,"Bekasi, Jawa Barat",dua mantan petinggi ptpn xi dipanggil soal dugaan korupsi
46,46,Jamal_akmalll,"Bekasi, Jawa Barat",rocky gerung melihat orang miskin bergerombol menunggu dilempari bansos seolah jadi kegembiraan
47,47,Jamal_akmalll,"Bekasi, Jawa Barat",harus balas budi baik habib rizieq shihab saat pilpres sih
