,user,location,pesan
0,SantaiSini,,Yolls dah vaccine ke? Bead vaccine ni viral kot weh. Cari yang mampu milik sudah lah. Cantik babe! Jom lah jadi gen… https://t.co/EuN1Guyrj4
1,KoalaBeartuldo,wherever I'm at,"Thank you DBC/TSSI and Aventus! 😍 #firstdose #astrazeneca #dbcvaccinationprogram #vaccinationdone✔️ @ Aventus, Filo… https://t.co/nz78eXUQN9"
2,wtcklofficial,World Trade Centre KL,Staf kami sentiasa mementingkan aspek kebersihan di PPV WTCKL dengan mensanitasi kerusi roda yang disediakan sebelu… https://t.co/0og1FhXhnQ
3,HariTriyatmo,Jakarta,"Lengkap sudah ✌️ dua dosis vaksin Astra Zeneca diterima. Sehat dan baik-baik selalu 👍
.
#astrazeneca #vaksìncovid19… https://t.co/yBy4LvpDWF"
4,HariTriyatmo,Jakarta,"Lengkap sudah ✌️ dua dosis vaksin Astra Zeneca diterima. Sehat dan baik-baik selalu 👍
.
#astrazeneca #vaksìncovid19… https://t.co/W4pPo9PtMu"
5,Irman81,Jl.Cinere Raya - Limo,"Vaksin Pfizer tgl 3 Sept jam 11:00, abis maghrib mulai terasa pegal di area bekas suntikan, semalaman tidurnya terb… https://t.co/LeZe6dK2SP"
6,farul_nizam,"Petaling, Selangor","Selesai
#astrazeneca https://t.co/TRIswuwaHH"
7,wtcklofficial,World Trade Centre KL,"Masih ragu-ragu sama ada anda perlu ambil vaksin atau tidak? 🤔

#AstraZeneca #CucukMYAZ #WTCKL #PWTC #PPV https://t.co/7V4ChGiiQ0"
8,monots,Ampang,"Tak mintak banyak, cameron highland pun jadi la. 😅
.
#ampangsfinest #astrazeneca @ Kuala Lumpur, Malaysia https://t.co/QhgCtOYvuD"
9,trtswahili,,"Makubaliano ya chanjo kati ya EU na #AstraZeneca
https://t.co/bZ5oKNPsSN"
10,puzzly,"Jakarta, Indonesia","Gak paham juga kenapa jadwalnya bisa beda. Vaksin #AstraZeneca. Via SMS, terjadwal di minggu ke-12; yang di sertifi… https://t.co/wUwO0CO3Ki"
11,kzahras,"Jakarta, Indonesia.","12 jam setelah 2nd shot, masih segar bugar sehat wal afiat 🙏🏻
#AstraZeneca"
12,TRTMelayu,,1 juta 495 ribu dos #vaksin #AstraZeneca disampaikan kepada Kementerian Kesihatan #Iran...#trtmelayu… https://t.co/t76xjIrmEN
13,tunfarulazri,"Tokyo-to, Japan","Warga Twitterjaya sekelian. Siapa yang dah ambik second dose AZ, share sikit simptom apa yang korang alami lepas su… https://t.co/9VBxcVWBec"
14,ferrafbryn,"Jakarta, Indonesia",#FullyVaccinated alhamdulillah udah 10 jam setelah vaksin belum ada efek apa2. Semoga gak berefek apa2 sih. Ayo… https://t.co/OsTSDSuxck
15,ReadRwanda,,U Rwanda rwakiriye dose 200.000 za #COVID19 zo mu bwoko bwa #AstraZeneca rwahawe n’u Bugereki. Izi nkingo zageze i… https://t.co/NSOFJye7j5
16,princess_nusrah,Bandar Baru Bangi,Alhamdulillah complete second dose 🥰 #AstraZeneca
17,mdfadbar_,"Johore, Malaysia","""Alhamdulillah .. kehebatan air hijau "" ... 

#AstraZeneca 
#symptoms
#vertigo
#dizzy
#Spinning 
#airhijaucikgujefferi"
18,lensaRTV,Indonesia,"#KabarBaikVaksin , Indonesia kembali kedatangan vaksin Covid-19 tahap ke-48 yang tiba Kamis sore di Bandara Soekarn… https://t.co/nl3cjHcTBA"
19,Imvaho_Nshya,Kigali Rwanda,"Kuri uyu wa Gatanu, u #Rwanda rwakiriye doze 200,000 z’inkingo za #AstraZeneca zatanzwe ku bufatanye bw’Ingabo z’u… https://t.co/Mtp5DV0PJ8"
20,wtcklofficial,World Trade Centre KL,"Sangat selesa apabila menunggu giliran anda untuk vaksinasi di WTCKL

#AstraZeneca #CucukMYAZ #WTCKL #PWTC #PPV https://t.co/ypn24KQPc7"
21,redaksisuma,,Indonesia kembali kedatangan vaksin 500 ribu dosis AstraZeneca yang merupakan vaksin tahap ke-48  dose-sharing Peme… https://t.co/ycZgvBPYsF
22,JoonEternal_7,875 ot7,"2nd dose completed! Alhamdulillah 💜

#AstraZeneca https://t.co/2mxfqtWp78"
23,pantau_com,"DKI Jakarta, Indonesia","Gabungan Vaksin Sinovac-AstraZeneca di Thailand Tunjukkan Hasil Positif, Berhasil Tingkatkan Kekebalan?… https://t.co/aI82Iahll8"
