,user,location,pesan
0,Andespen1,,"Punya Kadar Antibodi 2 Kali Lebih Tinggi Dari Pfizer, Vaksin Moderna Lebih Greng

#Pfizer #Moderna #Vaksin… https://t.co/LeDV0UTU24"
1,Nurput07,Indonesia,"Udah Vaksinasi belum?
Yuk vaksin, biar bisa saling. Iyaa iyaa saling menjaga. 😉
#vaksìncovid19 #vaksìnasicovid19… https://t.co/Fhm3ZUBR66"
2,Irman81,Jl.Cinere Raya - Limo,"Vaksin Pfizer tgl 3 Sept jam 11:00, abis maghrib mulai terasa pegal di area bekas suntikan, semalaman tidurnya terb… https://t.co/LeZe6dK2SP"
3,syafrudin76,Mataram,"Vaksin dosis pertama #Moderna bisa dapat antrian ""syantik"" Di Balai Desa Srimartani Piyungan @kecpiyungan1 Bantul… https://t.co/Qb1Xwd8ZEk"
4,yusyusN,"bandung, indonesia","KIPI di awal2 pasca vaksin booster cuma pegal di area suntik, 18 jam selanjutnya rada hareeng, tp alhamdulillah mas… https://t.co/4mw69PU4fX"
5,adilumuhu,,"Moderna di Lenganku Sojol di Dadaku
untuk mengatasi KIPInya saya menggunakan batu akik Sojol. Batu Giok Sojol batu… https://t.co/HB3Sm7EyaN"
6,_Room641A,RA 10h 47m 56s | Dec +8° 43 39,Winter is coming .. tik tak tik tak ⏱ That makes sense  #Sinovac #Pfizer #vaccine #COVID22 #COVID19 #coronavirus… https://t.co/BawEgiImvQ
7,tng_tv,"Kota Tangerang, Banten","#Sobattangerang untuk saat ini, ketersedian vaksin moderna di RSUD Kota Tangerang telah habis dan link pendaftaran… https://t.co/0H9w9mSX6r"
8,JamiiForums,"Tanzania, Kenya and Uganda","UFILIPINO: MODERNA YAIDHINISHWA KWA WENYE MIAKA 12 HADI 17

Matumizi ya dharura ya #Moderna yameidhinishwa kwa Wato… https://t.co/pM39owTQtW"
9,officialside_id,"Tangerang, Banten",Vaksin jenis Pfizer dan Moderna sudah tersedia di beberapa lokasi di Kabupaten Tangerang dan Kota Tangerang. Cek da… https://t.co/bwweI43wya
