,user,location,pesan
0,reddvelveet,,"Info vaksin dosis 1 sinovac dong daerah Cibitung,tamsel 
#vaksin 
#Sinovac #sinovacdosis1
#dosis1 #bekasi #tambunselatan #Vaksin Merah Putih"
1,polsekkuta,"Badung, Bali","Kapolsek Kuta Polresta Denpasar Kompol Orpa SM Takalapeta, S.H., menerima kunjungan Wagub Bali dan rombongan sekali… https://t.co/uBvjnnZQrq"
2,WhyMenggay,Fridge,Fully vaxx na din sa wakas!!! ❤💉 #Sinovac
3,SheMizuhara,Malaysia,Alhamdulillah I'm fully vaccinated thank you semua volunteer Axiata😚 setelah lama tunggu mysejahtera tak update update akhirnyaaaa. #Sinovac
4,Irman81,Jl.Cinere Raya - Limo,"Vaksin Pfizer tgl 3 Sept jam 11:00, abis maghrib mulai terasa pegal di area bekas suntikan, semalaman tidurnya terb… https://t.co/LeZe6dK2SP"
5,polsekkuta,"Badung, Bali","Kapolsek Kuta Polresta Denpasar Kompol Orpa SM Takalapeta, S.H., Pantau Langsung Sinergi Program Vaksinasi Polri Da… https://t.co/y7tmkYKwXr"
6,Blood4LifeID,Indonesia,#INFO #Vaksin #Sinovac #DonDar #JakartaUtara | 4 Sept'21 | 08.00 - 15.00 | PMI Jakut Jln. Plumpang Semper 54 Jakart… https://t.co/1ht0JUn02D
7,_Room641A,RA 10h 47m 56s | Dec +8° 43 39,Winter is coming .. tik tak tik tak ⏱ That makes sense  #Sinovac #Pfizer #vaccine #COVID22 #COVID19 #coronavirus… https://t.co/BawEgiImvQ
8,manisazman,"Johore, Malaysia","Finally, Alhamdulilah setel dah.. tunggu 14 hari pulak ni bagi vaksin matang dalam badan.. kita usaha untuk mengeka… https://t.co/ReJXdV7M4c"
9,radar_malang,"Jalan Kawi 11B, Kota Malang","Memasuki hari ketiga vaksinasi untuk para pelajar Kamis (2/9), Pemerintah Kota Malang kini telah menghabiskan 2.300… https://t.co/pqwQmuwwVQ"
10,Nurulsufitri,"Jakarta, Indonesia",Nurul Sufitri's Blog: Pengalaman Vaksin Sinovac Tahap Dua di Cibis Park https://t.co/qifYtVoG4y #vaksin #sinovac… https://t.co/nhGEY63N8p
11,raihxnmujahidin,"Johor Bahru, Johor",Alhamdulillah settle 2nd dose vaccine 💉 #sinovac @ Dewanraya Bandar Putra https://t.co/TfcPFR0Zr7
12,tuadoly,"Bandung, Indonesia","Vaksin ke-2 selesai. Semoga sehat selalu. 

#Sinovac"
13,novietact,"Penajam, Kaltim","28 hari stelah #vaksin #Sinovac, positif covid. nyaris tidak bergejala, kecuali asam lambung (karena cemas), tp tdk… https://t.co/mMGoWVJLKc"
14,pantau_com,"DKI Jakarta, Indonesia","Gabungan Vaksin Sinovac-AstraZeneca di Thailand Tunjukkan Hasil Positif, Berhasil Tingkatkan Kekebalan?… https://t.co/aI82Iahll8"
15,TulusIk05626274,,"Monggo yang membutuhkan Planter Bag , dari 10L - 250L ,, kontek2 ke wa : 085643982524 ,., Bisa kirim2 luar kota… https://t.co/nflykR4USh"
16,arisha84,,"@Khairykj assalamualaikum abah kj, sy smpai skrg x dpt 2nd dose appointment.. Saya cancel kerana berpindah ke ipoh,… https://t.co/COJE2spbWq"
17,sembilanpost,Jakarta,110 Juta Dosis Vaksin Sinovac dan Sinopharm untuk Program COVAX Siap Meluncur dari China https://t.co/CudibmVs9b… https://t.co/nvD5IZg0k1
18,Blood4LifeID,Indonesia,#INFO #Vaksin #Sinovac #DonDar #JakartaUtara | 4 Sept'21 | 08.00 - 15.00 | PMI Jakut Jln. Plumpang Semper no. 54 Ja… https://t.co/olcyc5vuHl
19,drmlalukoMD,"Mbeya, Tanzania",TAARIFA: Watakaohitaji kwenda 'hijja' wanahitajika kuchomwa chanjo ya Johnson&amp;Johnson (Janssen). Na wakazi wa Zanzi… https://t.co/hTtcuv4adu
20,Graicegita,"Manado, Minahasa Utara",Vaksin dosis 1 ✔️ #sinovac geng's 🤪 https://t.co/o3Fgw9pFDl
21,JoniqqOfficial,,"Mari Gabung Di Situs Poker Online JONIQQ Untuk Raih Kemenangan Besar Dengan Modal Kecil Saja, Di JONIQQ Online 24Ja… https://t.co/nNhtZMtTwE"
22,dsptln,Llanfairpwllgwyngyllgogerychw,Info vaksin dosis 2 sinovac dong gaes domisili Tangsel 😔🙏🏻 #sinovac #tangerangselatan #vaksin
23,Blood4LifeID,Indonesia,#INFO #Vaksin #Sinovac #DonDar #JakartaUtara | 4 Sept'21 | 08.00 - 15.00 | PMI Jakut Jln. Plumpang Semper no. 54 Ja… https://t.co/9BbGw5s4Bq
24,dw_indonesia,"Bonn, Jerman","Berikut rangkuman berita terhangat @dw_indonesia:

Korea Utara beralasan tiga juta vaksin #Sinovac harusnya dikirim… https://t.co/mRlr3izq3L"
25,pikiran_rakyat,"Bandung, Jawa Barat","Korea Utara 'Sombong' Tolak Bantuan Vaksin, Kondisinya Penuh Teka-teki
#Vaksin #COVID19 #Corona #coronavirus #korut… https://t.co/lXa1KyR8LT"
26,aisyahmuthiaa,,"Alhamdulillah vaksinasi tgl 02 sept 2021 berjalan lancar #Sinovac
👨‍⚕️👩‍⚕️ https://t.co/zNEpW7dKBF"
27,Hidup2lah,,Divaksin #Sinovac sakit gak sih?
28,ivankavalera,"Kabupaten Bulukumba, Sulsel",Ini alasan #KoreaUtara tolak penggunaan #vaksin #Sinovac https://t.co/bPU3KbogRi
29,workwithmysc,,"Yuk mengenal Vaksin Merah Putih lebih lanjut. kalau kaliang gimana nih sobat MYSC, sudah pada Vaksin belum? kalau s… https://t.co/sUvVSVkWou"
30,Greentea291,,"KIM JONG UN MEMANG BEDA👍

#Sinovac https://t.co/WVLX4YKLqM"
31,tentaralangit99,Indonesia,"Pentingnya Memberikan Tauladan Kepada Rakyat,Karena Sabdo Pandito Ratu..!!
Videonya Disini :… https://t.co/IXNwLsVIGp"
32,p2k_uad,"Yogyakarta, Indonesia","Hai dahlan muda kalian udah pada vaksin belum? buat yang udah vaksin pada vaksin jenis apa nih?
Like         : astr… https://t.co/WRpuItvSiZ"
33,Jamal_akmalll,"Bekasi, Jawa Barat","Diputuskan Hakim, Adi Wahyono Anak Buah Juliari jadi Justice Collaborator 
#BacaRMOL
#Sinovac
#Wuhan… https://t.co/awMFH1oeEQ"
34,Jamal_akmalll,"Bekasi, Jawa Barat","Pesan Ali Ngabalin pada Novel Baswean Cs: Pergi Sana Cari Kerja Lainnya, Jangan Ganggu @KPK_RI 
#BacaRMOL
#Sinovac… https://t.co/VeZbV79bkX"
35,Jamal_akmalll,"Bekasi, Jawa Barat","OTT Bupati Probolinggo Dapat Banyak Dukungan, @KPK_RI: Pelibatan Masyarakat Suatu Keniscayaan dalam Pemberantasan K… https://t.co/lphZtodrXt"
36,Jamal_akmalll,"Bekasi, Jawa Barat","Lebih Berat dari Tuntutan Jaksa @KPK_RI, Joko Bekas Anak Buah Juliari Batubara Divonis 9 Tahun Penjara 
#BacaRMOL… https://t.co/GKXm5GcnpL"
37,Jamal_akmalll,"Bekasi, Jawa Barat","@KPK_RI: Putusan @officialMKRI Soal TWK Menegaskan Kesesuain Aturan dengan Pelaksanaan 
#BacaRMOL
#Sinovac
#Wuhan… https://t.co/5pYfFPDPKP"
