,user,location,pesan
0,Andespen1,,"Punya Kadar Antibodi 2 Kali Lebih Tinggi Dari Pfizer, Vaksin Moderna Lebih Greng

#Pfizer #Moderna #Vaksin… https://t.co/LeDV0UTU24"
1,officialside_id,"Tangerang, Banten","QBIG BSD City bekerja sama dengan Dinkes Kabupaten Tangerang dan aplikasi SehatQ, kembali mengadakan program vaksin… https://t.co/Ba0vlxaRrL"
2,Irman81,Jl.Cinere Raya - Limo,"Vaksin Pfizer tgl 3 Sept jam 11:00, abis maghrib mulai terasa pegal di area bekas suntikan, semalaman tidurnya terb… https://t.co/LeZe6dK2SP"
3,jukezola,,Vacinadah #Pfizer 💅🏽
4,fairoz_amir,"Kinta, Perak","Settle Cucuk Chip ..Next?
#2nddosedone💉✔️
#pfizer #kpjipoh @ KPJ Ipoh Specialist Hospital https://t.co/fgRtJaDkJ1"
5,PemKabTangerang,"Tangerang, Banten","Vaksinasi pfizer bg Warga/Berdomisili Kab. Tgr (Umum &amp; Bumil) @ RSUD Balaraja, 06-10 Sept 21 (Kuota 200/Hari, &amp; 50… https://t.co/vWkwW4ms7n"
6,afroamazonida,"Ananindeua, Brasil","Status: IMUNIZADAH!

#VivaOSuS #VacinasSalvamVidas #VacinaSim #Pfizer #TaPassadah https://t.co/uiR6QFKz1O"
7,BarbieriIzabela,"Curitiba, Brasil",Tah passadahhhhh? #Pfizer  fora bozoooo 🤡🤡🤡🤡 https://t.co/SGyu1BpBfj
8,_Room641A,RA 10h 47m 56s | Dec +8° 43 39,Winter is coming .. tik tak tik tak ⏱ That makes sense  #Sinovac #Pfizer #vaccine #COVID22 #COVID19 #coronavirus… https://t.co/BawEgiImvQ
9,nayurenavila,,"vacinadaaaah 
#Pfizer 
#VivaOSuS 
#ForaBolsonaro"
10,PemKabTangerang,"Tangerang, Banten","Vaksinasi pfizer Bagi Warga Provinsi Banten
(Aman bg Anak2, Lansia, Bumil &amp; Peserta dg Komorbid)
@ RSU Kab. Tangera… https://t.co/nzuUZZb5cu"
11,963MedanFM,"Medan, Indonesia",Pfizer dan Merck mengumumkan uji coba terbarunya terhadap obat antivirus oral yang mereka kembangkan untuk pengobat… https://t.co/HMgvfd6GkX
12,lisaadelia,"Jakarta Capital Region, Indonesia",Info vaksinasi massal di Bekasi #infoVaksinasi #lokasivaksin #VaksinBekasi #Bekasi #Covid #Sinivac #pfizer… https://t.co/NrFaK8YCDD
13,myra_benjo,,"Lengkap suda dos 2 .. alhamdulillah🤲🏻
#pfizer https://t.co/AjZMgQXFFy"
14,fatihahazri_,Malaysia,"17 minit je dah settle!

Warga Lembah Klang yg belum dapat 1st dose &amp; yg terlepas second dose boleh walk-in ke Axia… https://t.co/XAvvNx4ZoH"
15,bieyyyyy,MY 🇲🇾,"Alhamdulillah done my first dose 💉❤️
#pfizer"
